BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1651.5933333333332,2.744,19.421,8.263,20.684,31.928,943.527,52.808,87.66666666666667
1651.6766666666667,2.744,19.421,8.263,20.684,31.928,943.527,52.808,85.33333333333333
1651.76,2.905,19.349,8.259,20.684,31.995,943.408,52.646,83.0
1651.7866666666666,2.905,19.349,8.259,20.684,31.995,943.408,52.646,83.0
1651.8133333333333,2.905,19.349,8.259,20.684,31.995,943.408,52.646,83.0
1651.84,2.866,19.302,8.196,20.684,31.754,944.003,52.686,83.0
1651.85,2.866,19.302,8.196,20.684,31.754,944.003,52.686,83.66666666666667
1651.86,2.866,19.302,8.196,20.684,31.754,944.003,52.686,84.33333333333333
1651.87,2.863,19.298,8.182,20.684,31.873,943.646,52.689,85.0
1651.9399999999998,2.863,19.298,8.182,20.684,31.873,943.646,52.689,89.66666666666667
1652.01,2.863,19.298,8.182,20.684,31.873,943.646,52.689,94.33333333333333
1652.08,2.86,19.372,8.322,20.684,31.807,944.003,52.692,99.0
1652.1166666666666,2.86,19.372,8.322,20.684,31.807,944.003,52.692,96.33333333333333
1652.1533333333334,2.86,19.372,8.322,20.684,31.807,944.003,52.692,93.66666666666667
1652.19,2.852,19.353,8.291,20.684,31.71,943.408,52.7,91.0
1652.2766666666666,2.852,19.353,8.291,20.684,31.71,943.408,52.7,91.0
1652.3633333333335,2.852,19.353,8.291,20.684,31.71,943.408,52.7,91.0
1652.45,2.644,19.184,8.047,20.684,31.833,944.003,52.907,91.0
1652.48,2.644,19.184,8.047,20.684,31.833,944.003,52.907,92.33333333333333
1652.51,2.644,19.184,8.047,20.684,31.833,944.003,52.907,93.66666666666667
1652.54,2.724,19.287,8.138,20.488,31.725,943.765,52.828,95.0
1652.5933333333332,2.724,19.287,8.138,20.488,31.725,943.765,52.828,101.0
1652.6466666666668,2.724,19.287,8.138,20.488,31.725,943.765,52.828,107.0
1652.7,2.689,19.494,8.367,20.488,31.902,943.527,52.862,113.0
1652.8700000000001,2.689,19.494,8.367,20.488,31.902,943.527,52.862,106.33333333333333
1653.04,2.689,19.494,8.367,20.488,31.902,943.527,52.862,99.66666666666667
1653.21,2.73,19.458,8.138,20.488,31.778,943.765,52.822,93.0
1653.23,2.73,19.458,8.138,20.488,31.778,943.765,52.822,90.66666666666667
1653.25,2.73,19.458,8.138,20.488,31.778,943.765,52.822,88.33333333333333
1653.27,2.749,19.507,8.178,20.488,31.797,943.884,52.803,86.0
1653.35,2.749,19.507,8.178,20.488,31.797,943.884,52.803,86.66666666666667
1653.43,2.749,19.507,8.178,20.488,31.797,943.884,52.803,87.33333333333333
1653.51,2.668,19.582,8.304,20.881,31.852,943.051,52.883,88.0
1653.53,2.668,19.582,8.304,20.881,31.852,943.051,52.883,88.66666666666667
1653.55,2.668,19.582,8.304,20.881,31.852,943.051,52.883,89.33333333333333
1653.57,2.68,19.554,8.257,20.881,31.788,944.003,52.872,90.0
1653.6233333333332,2.68,19.554,8.257,20.881,31.788,944.003,52.872,91.33333333333333
1653.6766666666667,2.68,19.554,8.257,20.881,31.788,944.003,52.872,92.66666666666667
1653.73,2.685,19.421,8.159,20.881,31.885,943.17,52.867,94.0
1653.77,2.685,19.421,8.159,20.881,31.885,943.17,52.867,93.33333333333333
1653.81,2.685,19.421,8.159,20.881,31.885,943.17,52.867,92.66666666666667
1653.85,2.724,19.528,8.287,20.881,31.866,943.646,52.828,92.0
1654.97,2.724,19.528,8.287,20.881,31.866,943.646,52.828,94.66666666666667
1656.09,2.724,19.528,8.287,20.881,31.866,943.646,52.828,97.33333333333333
1657.21,0.0,19.042,8.893,19.153,31.837,943.884,55.834,100.0
1657.2333333333333,0.0,19.042,8.893,19.153,31.837,943.884,55.834,100.0
1657.2566666666667,0.0,19.042,8.893,19.153,31.837,943.884,55.834,100.0
1657.28,0.0,19.064,3.839,19.153,11.45,943.289,55.26,100.0
1657.34,0.0,19.064,3.839,19.153,11.45,943.289,55.26,102.0
1657.4,0.0,19.064,3.839,19.153,11.45,943.289,55.26,104.0
1657.46,0.0,3.228,0.301,19.153,0.0,112.262,29.474,106.0
1657.5066666666667,0.0,3.228,0.301,19.153,0.0,112.262,29.474,108.33333333333333
1657.5533333333333,0.0,3.228,0.301,19.153,0.0,112.262,29.474,110.66666666666667
1657.6,0.0,0.438,0.272,19.153,0.041,0.0,17.572,113.0
