MD,TVD,RPMA,WOBA,ROPA
1641.5,1581.29,0.58,2.44,11.58
1642.7,1582.43,0.01,2.49,7.63
1643.0,1582.71,0.51,2.64,8.88
1643.3,1583.0,0.42,2.53,8.88
1643.5,1583.19,50.88,0.01,8.09
1643.6,1583.28,50.53,0.01,8.09
1643.7,1583.38,50.24,0.01,8.09
1643.8,1583.47,51.27,0.01,8.09
1643.9,1583.57,50.31,0.01,9.11
1644.0,1583.66,50.84,0.01,9.11
1644.1,1583.75,51.68,0.01,9.11
1644.2,1583.85,50.43,0.01,9.11
1644.3,1583.94,51.17,0.01,16.76
1644.4,1584.04,51.28,0.01,16.76
1644.5,1584.13,50.2,0.01,16.76
1644.6,1584.23,50.96,0.01,16.76
1644.7,1584.32,51.82,0.01,16.76
1644.8,1584.42,50.96,0.01,17.5
1644.9,1584.51,50.21,0.01,17.5
1645.0,1584.61,50.98,0.01,17.5
1645.1,1584.7,50.53,0.01,17.5
1645.2,1584.79,50.44,0.01,17.5
1645.3,1584.89,51.21,0.01,15.21
1645.4,1584.98,50.58,0.01,15.21
1645.5,1585.08,50.25,0.01,15.21
1645.6,1585.17,51.47,0.01,15.21
1645.7,1585.27,51.26,0.01,15.21
1645.8,1585.36,50.58,0.01,18.56
1645.9,1585.46,51.03,0.01,18.56
1646.0,1585.55,51.43,0.01,18.56
1646.1,1585.65,49.97,0.01,18.56
1646.2,1585.74,51.29,0.01,18.56
1646.3,1585.84,51.15,0.01,14.8
1646.4,1585.93,50.45,0.01,14.79
1646.5,1586.02,51.29,0.01,14.79
1646.6,1586.12,50.5,0.01,14.79
1646.7,1586.21,50.0,0.01,14.79
1646.8,1586.31,51.28,0.01,16.98
1646.9,1586.4,50.52,0.01,16.98
1647.0,1586.5,50.23,0.01,16.98
1647.1,1586.59,50.94,0.01,16.98
1647.2,1586.69,50.74,0.01,16.98
1647.3,1586.78,50.43,0.01,15.8
1647.4,1586.87,50.94,0.01,15.8
1647.5,1586.97,51.53,0.01,15.8
1647.6,1587.06,50.31,0.01,15.8
1647.7,1587.16,50.57,0.01,15.8
1647.8,1587.25,51.42,0.01,19.87
1647.9,1587.35,50.65,0.01,19.87
1648.0,1587.44,50.68,0.01,19.87
1648.1,1587.54,51.68,0.01,19.87
1648.2,1587.63,50.42,0.01,19.87
1648.3,1587.73,51.05,0.01,17.93
1648.4,1587.82,50.91,0.01,17.93
1648.5,1587.91,50.7,0.33,17.93
1648.6,1588.01,50.56,0.17,17.93
1648.7,1588.1,51.33,0.59,17.93
1648.8,1588.2,51.14,0.47,16.17
1648.9,1588.29,50.46,1.08,16.17
